CODIGO_ORGANIZACAO;NOME_GRUPO;TIPO_TICKET;STATUS_TICKET;DT_CRIACAO;DT_ATUALIZACAO;BK_TICKET;PRIORIDADE_TICKET
TFCPWG;Fábrica Consinco;task;closed;12/11/2024;02/01/2025;21787048;low
TB2434;PC - Financeiro;question;closed;07/05/2024;16/05/2024;20066662;normal
TFBYNF;TOTVS Chef Corporativo;question;closed;19/03/2024;03/04/2024;19662250;low
TFCNAD;PC - Financeiro;question;closed;25/06/2024;04/07/2024;20517470;normal
TFDJLF;AGT CLOUD RM STD;question;closed;02/02/2024;06/02/2024;19222316;low
TEZDFJ;Protheus SPED;question;closed;06/02/2024;23/02/2024;19249600;low
TFDIDT;AGT CLOUD RM STD;question;closed;05/04/2024;11/04/2024;19805387;high
TEZIIF;Protheus SPED;question;closed;12/04/2024;30/04/2024;19880177;low
TFDPV1;PC - Financeiro;question;closed;18/12/2024;31/12/2024;22136158;low
TFDPV1;PC - Financeiro;question;closed;09/02/2024;26/02/2024;19304821;low
TFCFEH;AGT CLOUD RM STD;question;closed;16/02/2024;22/02/2024;19353834;low
TFCC64;Logix Controladoria;question;closed;27/02/2024;07/03/2024;19454516;high
T55024;Reversão Canc/Ouvidoria;question;closed;26/11/2024;24/12/2024;21913043;normal
TFCQL3;PC - Financeiro;question;closed;03/02/2025;07/02/2025;22531671;low
TFDBAQ;PC - Financeiro;question;closed;25/03/2024;04/04/2024;19706231;normal
T79375;Datasul Recursos Humanos;incident;closed;23/01/2024;12/02/2024;19121176;high
TEZOVP;TCRM GC - Suporte Padrão;question;closed;22/02/2024;06/03/2024;19417120;normal
TFDAS5;TOTVS Chef Corporativo;question;closed;14/04/2024;26/04/2024;19882769;normal
TEZEFG;Reversão Canc/Ouvidoria;question;closed;29/07/2024;30/07/2024;20823428;normal
TFCPWG;Consinco Recebimento e Expedição de Loja;question;closed;07/05/2024;07/06/2024;20066158;normal
TFDAS5;TOTVS Chef Corporativo;question;closed;26/02/2025;12/03/2025;22792326;low
TFDJLF;AGT CLOUD RM STD;question;closed;25/03/2024;30/03/2024;19712337;normal
TEZOOL;RM Gestão de Pessoas & SSO;question;closed;20/06/2024;02/07/2024;20484491;low
TFCXA8;AGT CLOUD RM STD;question;closed;07/03/2024;13/03/2024;19542690;low
TFCRW9;CST - Contratos Padrão e Select;task;closed;17/01/2025;17/01/2025;22386675;normal
TFDEZT;CST - Contratos Padrão e Select;question;closed;16/12/2024;20/01/2025;22104268;normal
TFCQL3;PC - Financeiro;question;closed;02/07/2024;11/07/2024;20569668;low
T31446;Datasul Mercado Internacional;question;closed;13/03/2024;22/03/2024;19596405;high
TFCQL3;PC - Financeiro;question;closed;31/01/2024;09/02/2024;19198972;low
T12653;CST - Contratos Padrão e Select;question;closed;11/02/2025;13/03/2025;22637552;low
TFCXA8;AGT CLOUD RM STD;question;closed;23/10/2024;30/10/2024;21605846;normal
T03120;FÁBRICA RM - CUSTOMIZAÇÃO PORTFÓLIO PLAT & SEG;incident;closed;03/09/2024;08/10/2024;21145583;low
TFCUKX;Reversão Canc/Ouvidoria;question;closed;05/03/2024;22/03/2024;19526445;normal
T57936;Prime Supermercados - Consultoria;question;open;14/02/2025;24/03/2025;22691536;low
TCAWRC;TOTVS Chef Corporativo;question;closed;29/11/2024;13/12/2024;21945420;low
TEZDFJ;Protheus Manufatura;question;closed;10/04/2024;19/04/2024;19852199;normal
TDC02G;Consinco PDV Infra e Monitor;question;closed;12/02/2025;14/02/2025;22649584;low
T73765;Parceiros Datasul Neogrid Atendimento;question;closed;07/05/2024;27/05/2024;20077210;normal
TFCJEG;Protheus SPED;question;closed;09/05/2024;27/05/2024;20098685;low
TFCKV3;TPD CSO;problem;closed;03/08/2024;27/08/2024;20869678;high
TEZMJ3;AGT CLOUD RM STD;question;closed;31/01/2025;04/02/2025;22516042;low
TFDJLF;AGT CLOUD RM STD;question;closed;25/04/2024;02/05/2024;19989865;low
TDC02G;Consinco Recebimento e Expedição de Loja;question;closed;12/11/2024;12/11/2024;21786510;normal
TFCPWG;Consinco Recebimento e Expedição de Loja;question;closed;25/11/2024;12/12/2024;21887807;high
T03120;PRIME RM RH;question;closed;06/02/2024;06/03/2024;19254817;low
TFCQL3;PC - Financeiro;question;closed;16/05/2024;27/05/2024;20178796;normal
TB2947;PC - Financeiro;question;closed;31/10/2024;11/11/2024;21669601;low
TDC02G;Consinco Recebimento e Expedição de Loja;question;closed;20/02/2025;12/03/2025;22751235;low
